Payment type,Payment sub type,Count,Amount,Tips,Grat,Tax amount,Refunds,Tip refunds,Legacy tips,Total,Tips/Grat %
Cash,,62,1166.17,40.0,0.4,88.9,0.0,0.0,40.00,1206.57,3.7
Credit/debit,,273,7046.94,717.44,170.89,537.02,0.0,0.0,717.44,7935.27,13.5
Credit/debit,AMEX,9,198.05,27.47,4.64,15.09,0.0,0.0,27.47,230.16,16.9
Credit/debit,MASTERCARD,108,2852.41,281.85,73.37,217.33,0.0,0.0,281.85,3207.63,13.3
Credit/debit,VISA,156,3996.48,408.12,92.88,304.6,0.0,0.0,408.12,4497.48,13.5
Gift Card,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Other,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.00,
Subtotal,,335,8213.11,757.44,171.29,625.92,0.0,0.0,757.44,9141.84,12.1
Deposit Sales Collected,,,,,,,,,,5.2,
Total,,,,,,,,,,9147.04,
