Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000030843871335,800000030843839881,2,,CREDIT,Melissa ,Melissa ,0.00,12.19,,10/17/25 6:37 AM,10/17/25 6:33 AM
800000030843904892,800000030843844248,3,,CREDIT,Melissa ,Melissa ,0.00,13.61,,10/17/25 6:41 AM,10/17/25 6:34 AM
800000030843949881,800000030843949552,4,,CASH,Melissa ,Melissa ,0.00,7.34,DRIVE THRU 1,10/17/25 6:45 AM,10/17/25 6:45 AM
800000030843985470,800000030843954558,5,,CREDIT,Melissa ,Melissa ,0.00,7.56,,10/17/25 6:49 AM,10/17/25 6:46 AM
800000030844026388,800000030844024836,6,,CREDIT,Melissa ,Melissa ,2.00,4.09,,10/17/25 6:54 AM,10/17/25 6:54 AM
800000030844057828,800000030844024729,7,,CASH,Melissa ,Melissa ,0.00,1.94,DRIVE THRU 1,10/17/25 6:57 AM,10/17/25 6:54 AM
800000030844280087,800000030844281372,8,,CREDIT,Melissa ,Melissa ,0.00,10.46,,10/17/25 7:14 AM,10/17/25 7:14 AM
800000030844284046,800000030844281372,8,,CREDIT,Melissa ,Melissa ,0.00,4.32,,10/17/25 7:14 AM,10/17/25 7:14 AM
800000030844326198,800000030844325451,9,,CREDIT,Melissa ,Melissa ,0.00,8.29,,10/17/25 7:17 AM,10/17/25 7:17 AM
800000030844329767,800000030844325451,9,,CREDIT,Melissa ,Melissa ,0.00,2.27,,10/17/25 7:17 AM,10/17/25 7:17 AM
800000030844436608,800000030844422155,12,,CREDIT,Melissa ,Melissa ,0.00,1.94,,10/17/25 7:24 AM,10/17/25 7:23 AM
800000030844447819,800000030844328613,10,,CASH,Melissa ,Melissa ,0.00,2.48,DRIVE THRU 1,10/17/25 7:25 AM,10/17/25 7:17 AM
800000030844449082,800000030844415127,13,,CREDIT,Sugey,Melissa ,2.00,7.01,,10/17/25 7:25 AM,10/17/25 7:23 AM
800000030844525007,800000030844498131,16,,CREDIT,Melissa ,Melissa ,0.00,7.34,,10/17/25 7:30 AM,10/17/25 7:28 AM
800000030844533746,800000030844508114,17,,CREDIT,Melissa ,Melissa ,2.00,5.18,,10/17/25 7:31 AM,10/17/25 7:29 AM
800000030844693956,800000030844640068,19,,CREDIT,Melissa ,Melissa ,0.00,4.31,,10/17/25 7:40 AM,10/17/25 7:37 AM
800000030844719399,800000030844566803,18,,CREDIT,Sugey,Melissa ,3.00,24.95,,10/17/25 7:42 AM,10/17/25 7:32 AM
800000030844761024,800000030844758586,21,,CREDIT,Melissa ,Melissa ,0.00,3.24,,10/17/25 7:44 AM,10/17/25 7:44 AM
800000030844844085,800000030844836186,22,,CREDIT,Melissa ,Melissa ,0.00,22.38,,10/17/25 7:49 AM,10/17/25 7:49 AM
800000030844905545,800000030844890246,23,,CASH,Melissa ,Melissa ,0.00,16.95,DRIVE THRU 1,10/17/25 7:53 AM,10/17/25 7:52 AM
800000030845037191,800000030844995886,24,,CREDIT,Melissa ,Melissa ,3.00,21.61,,10/17/25 8:00 AM,10/17/25 7:58 AM
800000030845130623,800000030845128977,31,,CREDIT,Leticia,Leticia,2.00,11.34,,10/17/25 8:05 AM,10/17/25 8:05 AM
800000030845158216,800000030845153260,33,,CREDIT,Melissa ,Melissa ,0.00,14.24,,10/17/25 8:06 AM,10/17/25 8:06 AM
800000030845240600,800000030845103918,30,,CASH,Melissa ,Melissa ,0.00,6.26,DRIVE THRU 1,10/17/25 8:11 AM,10/17/25 8:04 AM
800000030845263859,800000030845049098,26,,CASH,Melissa ,Melissa ,0.00,3.24,DRIVE THRU 1,10/17/25 8:12 AM,10/17/25 8:01 AM
800000030845272666,800000030845106591,32,,CREDIT,Melissa ,Melissa ,0.00,6.55,,10/17/25 8:13 AM,10/17/25 8:04 AM
800000030845351912,800000030845162190,35,18,CREDIT,Sugey,Sugey,3.00,10.81,,10/17/25 8:17 AM,10/17/25 8:07 AM
800000030845365378,800000030845360903,37,,CASH,Melissa ,Melissa ,0.00,15.50,DRIVE THRU 1,10/17/25 8:17 AM,10/17/25 8:17 AM
800000030845536304,800000030845533152,39,,CREDIT,Melissa ,Melissa ,0.00,12.41,,10/17/25 8:26 AM,10/17/25 8:26 AM
800000030845582915,800000030845529470,38,,CREDIT,Melissa ,Melissa ,0.00,11.65,,10/17/25 8:29 AM,10/17/25 8:26 AM
800000030845604212,800000030845601099,41,,CREDIT,Brianna,Brianna,0.00,1.94,,10/17/25 8:30 AM,10/17/25 8:30 AM
800000030845641615,800000030845546141,40,,CASH,Melissa ,Melissa ,0.00,20.19,DRIVE THRU 1,10/17/25 8:32 AM,10/17/25 8:27 AM
800000030845653676,800000030845601778,42,,CREDIT,Melissa ,Melissa ,5.00,2.94,,10/17/25 8:32 AM,10/17/25 8:30 AM
,,,,TIP_OUT,Sugey,Sugey,-8.00,0.00,House,10/17/25 8:33 AM,10/17/25 8:33 AM
800000030845711277,800000030845020728,25,2,CREDIT,Lizbeth,Lizbeth,0.00,12.97,,10/17/25 8:35 AM,10/17/25 7:59 AM
800000030845770025,800000030845738669,44,,CREDIT,Melissa ,Melissa ,0.00,5.02,,10/17/25 8:38 AM,10/17/25 8:36 AM
800000030845842928,800000030845842569,49,,CREDIT,Brianna,Brianna,0.00,11.66,,10/17/25 8:42 AM,10/17/25 8:42 AM
800000030845874417,800000030845872185,50,,CREDIT,Brianna,Brianna,0.00,6.46,,10/17/25 8:43 AM,10/17/25 8:43 AM
800000030845875693,800000030845875380,51,,CASH,Melissa ,Melissa ,0.00,4.32,DRIVE THRU 1,10/17/25 8:43 AM,10/17/25 8:43 AM
800000030845898479,800000030845077492,28,1,CASH,Lizbeth,Lizbeth,0.00,9.72,,10/17/25 8:44 AM,10/17/25 8:02 AM
800000030845935596,800000030845777354,46,,CREDIT,Brianna,Brianna,0.00,4.17,,10/17/25 8:46 AM,10/17/25 8:38 AM
800000030845942886,800000030845760151,45,,CREDIT,Melissa ,Melissa ,2.00,21.39,,10/17/25 8:47 AM,10/17/25 8:38 AM
800000030845956382,800000030844746293,20,16,CASH,Lizbeth,Lizbeth,0.00,7.13,,10/17/25 8:47 AM,10/17/25 7:44 AM
800000030845993500,800000030845769471,47,,CREDIT,Melissa ,Melissa ,0.00,17.17,,10/17/25 8:49 AM,10/17/25 8:38 AM
800000030846001211,800000030845877417,53,,CASH,Melissa ,Melissa ,0.00,4.31,DRIVE THRU 1,10/17/25 8:49 AM,10/17/25 8:43 AM
800000030846010583,800000030846009938,56,,CASH,Brianna,Brianna,0.00,8.65,Host Drawer,10/17/25 8:50 AM,10/17/25 8:50 AM
800000030846017377,800000030845954521,54,,CREDIT,Melissa ,Melissa ,0.00,15.65,,10/17/25 8:50 AM,10/17/25 8:47 AM
800000030846040933,800000030845954521,54,,CREDIT,Melissa ,Melissa ,0.00,27.03,,10/17/25 8:51 AM,10/17/25 8:47 AM
800000030846095377,800000030845689700,43,,CASH,Melissa ,Melissa ,0.00,15.65,DRIVE THRU 1,10/17/25 8:54 AM,10/17/25 8:34 AM
800000030846125067,800000030846013703,55,,CREDIT,Melissa ,Melissa ,2.00,17.24,,10/17/25 8:56 AM,10/17/25 8:50 AM
800000030846168863,800000030846086783,59,,CREDIT,Melissa ,Melissa ,0.00,11.42,,10/17/25 8:58 AM,10/17/25 8:54 AM
800000030846208324,800000030846206821,58,,CREDIT,Brianna,Brianna,0.00,9.60,,10/17/25 9:00 AM,10/17/25 8:59 AM
800000030846216852,800000030846122464,60,,CREDIT,Melissa ,Melissa ,0.00,11.74,,10/17/25 9:00 AM,10/17/25 8:55 AM
