Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031215662715,800000031215637718,2,,CREDIT,AM,AM,0.00,17.89,,10/26/25 8:05 AM,10/26/25 8:03 AM
800000031215785502,800000031215747301,3,,CREDIT,AM,AM,0.00,4.30,,10/26/25 8:12 AM,10/26/25 8:10 AM
800000031215882568,800000031215871453,5,,CASH,AM,AM,0.00,7.34,Front Box Cash Drawer,10/26/25 8:18 AM,10/26/25 8:18 AM
800000031215891457,800000031215882549,6,,CREDIT,AM,AM,2.97,14.03,,10/26/25 8:19 AM,10/26/25 8:18 AM
800000031215952979,800000031215949919,9,,CREDIT,AM,AM,0.00,4.63,,10/26/25 8:22 AM,10/26/25 8:22 AM
800000031216107284,800000031216045801,4,,CREDIT,AM,AM,0.00,73.91,,10/26/25 8:31 AM,10/26/25 8:27 AM
800000031216137915,800000031216059207,10,,CREDIT,AM,AM,0.00,7.54,,10/26/25 8:33 AM,10/26/25 8:28 AM
800000031216166317,800000031216101367,11,,CASH,AM,AM,0.00,33.89,Front Box Cash Drawer,10/26/25 8:34 AM,10/26/25 8:31 AM
800000031216224868,800000031216149315,14,,CASH,AM,AM,0.00,17.23,Front Box Cash Drawer,10/26/25 8:37 AM,10/26/25 8:33 AM
800000031216275252,800000031216217674,15,,CASH,AM,AM,0.00,6.46,Front Box Cash Drawer,10/26/25 8:40 AM,10/26/25 8:37 AM
800000031216327622,800000031216242620,16,,CREDIT,AM,AM,1.00,4.31,,10/26/25 8:42 AM,10/26/25 8:38 AM
800000031216380786,800000031216307942,17,,CASH,AM,AM,0.00,13.23,Front Box Cash Drawer,10/26/25 8:45 AM,10/26/25 8:41 AM
800000031216450192,800000031216398437,18,,CASH,AM,AM,0.00,13.25,Front Box Cash Drawer,10/26/25 8:48 AM,10/26/25 8:46 AM
800000031216510184,800000031216425973,19,,CASH,AM,AM,0.00,12.52,Front Box Cash Drawer,10/26/25 8:51 AM,10/26/25 8:47 AM
800000031216613759,800000031216149341,13,18,CREDIT,samantha,AM,0.00,36.25,,10/26/25 8:56 AM,10/26/25 8:33 AM
800000031216658781,800000031216656613,20,,CREDIT,AM,AM,2.00,4.30,,10/26/25 8:58 AM,10/26/25 8:58 AM
800000031216664397,800000031216606861,12,,CASH,AM,AM,0.00,29.27,Front Box Cash Drawer,10/26/25 8:58 AM,10/26/25 8:56 AM
800000031216785001,800000031216768649,23,,CREDIT,Martina,Martina,0.00,6.46,,10/26/25 9:03 AM,10/26/25 9:03 AM
800000031216864447,800000031216840926,25,,CREDIT,Martina,Martina,0.00,10.57,,10/26/25 9:06 AM,10/26/25 9:05 AM
800000031216970084,800000031216881960,26,,CREDIT,Martina,Martina,0.00,23.01,,10/26/25 9:10 AM,10/26/25 9:07 AM
800000031217015344,800000031216963843,30,,CASH,Martina,Martina,0.00,7.56,Drive Thru Cash Drawer,10/26/25 9:12 AM,10/26/25 9:10 AM
800000031217032135,800000031216976455,32,,CASH,Martina,Martina,0.00,11.90,Drive Thru Cash Drawer,10/26/25 9:13 AM,10/26/25 9:11 AM
800000031217061424,800000031217022578,33,,CREDIT,Martina,Martina,0.00,9.09,,10/26/25 9:14 AM,10/26/25 9:12 AM
800000031217129329,800000031217056508,34,,CASH,Martina,Martina,0.00,10.78,Drive Thru Cash Drawer,10/26/25 9:16 AM,10/26/25 9:14 AM
800000031217157191,800000031217076958,35,,CREDIT,Martina,Martina,3.00,11.33,,10/26/25 9:18 AM,10/26/25 9:14 AM
800000031217188892,800000031217124827,38,,CREDIT,Martina,Martina,1.00,7.34,,10/26/25 9:19 AM,10/26/25 9:16 AM
800000031217240710,800000031217228950,40,,CREDIT,Martina,Martina,0.00,22.94,,10/26/25 9:21 AM,10/26/25 9:20 AM
800000031217392861,800000031217291351,41,,CASH,Martina,Martina,0.00,8.62,Drive Thru Cash Drawer,10/26/25 9:26 AM,10/26/25 9:22 AM
800000031217430696,800000031217424086,45,,CASH,Martina,Martina,0.00,8.19,Drive Thru Cash Drawer,10/26/25 9:27 AM,10/26/25 9:27 AM
800000031217547258,800000031217531145,31,,CREDIT,Martina,Martina,0.00,23.55,,10/26/25 9:32 AM,10/26/25 9:31 AM
800000031217775582,800000031217729679,48,,CREDIT,Martina,Martina,0.00,22.56,,10/26/25 9:39 AM,10/26/25 9:38 AM
800000031217819817,800000031216851680,29,9,CASH,samantha,AM,0.00,19.46,Front Box Cash Drawer,10/26/25 9:41 AM,10/26/25 9:06 AM
800000031217863291,800000031217826257,47,,CREDIT,Martina,Martina,0.00,21.57,,10/26/25 9:42 AM,10/26/25 9:41 AM
800000031217944290,800000031217899927,49,,CREDIT,Martina,Martina,3.00,27.16,,10/26/25 9:45 AM,10/26/25 9:43 AM
800000031218132756,800000031217156375,37,5,CASH,Sami,AM,0.00,33.68,Front Box Cash Drawer,10/26/25 9:51 AM,10/26/25 9:17 AM
800000031218163583,800000031218152611,54,,CASH,AM,AM,0.00,2.98,Front Box Cash Drawer,10/26/25 9:52 AM,10/26/25 9:51 AM
800000031218166656,800000031217953710,52,,CASH,Martina,Martina,0.00,8.62,Drive Thru Cash Drawer,10/26/25 9:52 AM,10/26/25 9:45 AM
800000031218185507,800000031218089016,53,,CREDIT,Martina,Martina,0.00,17.88,,10/26/25 9:52 AM,10/26/25 9:49 AM
800000031218266750,800000031217409600,44,19,CASH,Sami,AM,0.00,12.01,Front Box Cash Drawer,10/26/25 9:55 AM,10/26/25 9:27 AM
800000031218273309,800000031218180385,55,,CREDIT,Martina,Martina,3.68,26.32,,10/26/25 9:55 AM,10/26/25 9:52 AM
800000031218312896,800000031218313924,61,,CREDIT,AM,AM,1.00,8.62,,10/26/25 9:56 AM,10/26/25 9:56 AM
800000031218333443,800000031218196479,56,,CREDIT,Martina,Martina,0.00,14.01,,10/26/25 9:57 AM,10/26/25 9:53 AM
800000031218392936,800000031218285532,59,,CASH,Martina,Martina,0.00,32.61,Drive Thru Cash Drawer,10/26/25 9:59 AM,10/26/25 9:56 AM
800000031218442397,800000031218229228,57,,CASH,AM,AM,0.00,5.94,Front Box Cash Drawer,10/26/25 10:00 AM,10/26/25 9:54 AM
800000031218496715,800000031218367251,63,,CASH,Martina,Martina,0.00,43.61,Drive Thru Cash Drawer,10/26/25 10:02 AM,10/26/25 9:58 AM
800000031218522071,800000031218386266,64,,CREDIT,Martina,Martina,2.00,33.96,,10/26/25 10:03 AM,10/26/25 9:59 AM
800000031218552494,800000031218468761,65,,CREDIT,Martina,Martina,0.00,9.50,,10/26/25 10:04 AM,10/26/25 10:01 AM
800000031218584697,800000031218480987,66,,CASH,Martina,Martina,0.00,5.94,Drive Thru Cash Drawer,10/26/25 10:05 AM,10/26/25 10:02 AM
800000031218644515,800000031218507713,67,,CREDIT,Martina,Martina,0.00,39.19,,10/26/25 10:06 AM,10/26/25 10:02 AM
800000031218703449,800000031218684391,73,,CREDIT,AM,AM,2.00,2.15,,10/26/25 10:08 AM,10/26/25 10:07 AM
800000031218749669,800000031218525642,68,,CREDIT,Martina,Martina,2.28,16.72,,10/26/25 10:09 AM,10/26/25 10:03 AM
800000031218797709,800000031218541764,69,,CREDIT,Martina,Martina,2.48,10.52,,10/26/25 10:10 AM,10/26/25 10:03 AM
800000031218889909,800000031218550982,70,,CASH,Martina,Martina,0.00,9.71,Drive Thru Cash Drawer,10/26/25 10:13 AM,10/26/25 10:04 AM
800000031218965820,800000031218627763,71,,CREDIT,Martina,Martina,0.00,27.91,,10/26/25 10:15 AM,10/26/25 10:04 AM
800000031218997782,800000031218794858,8001,,CREDIT,Martina,Martina,0.00,8.62,,10/26/25 10:16 AM,10/26/25 10:10 AM
800000031219024348,800000031218959896,77,,CASH,Martina,Martina,0.00,13.25,Drive Thru Cash Drawer,10/26/25 10:16 AM,10/26/25 10:15 AM
800000031219092683,800000031217350277,43,3,CREDIT,samantha,AM,5.00,15.69,,10/26/25 10:18 AM,10/26/25 9:25 AM
800000031219250028,800000031217934378,51,6,CREDIT,samantha,AM,0.00,21.51,,10/26/25 10:22 AM,10/26/25 9:44 AM
800000031219306942,800000031219218268,81,,CREDIT,Martina,Martina,0.00,8.08,,10/26/25 10:23 AM,10/26/25 10:21 AM
800000031219344848,800000031219255395,82,,CASH,Martina,Martina,0.00,25.95,Drive Thru Cash Drawer,10/26/25 10:24 AM,10/26/25 10:22 AM
800000031219480032,800000031219400858,86,,CASH,Martina,Martina,0.00,7.55,Drive Thru Cash Drawer,10/26/25 10:28 AM,10/26/25 10:26 AM
800000031219595481,800000031219593466,84,,CREDIT,AM,AM,0.00,3.73,,10/26/25 10:30 AM,10/26/25 10:30 AM
800000031219653455,800000031219653237,88,,CASH,Martina,Martina,0.00,2.15,Drive Thru Cash Drawer,10/26/25 10:32 AM,10/26/25 10:32 AM
800000031219708703,800000031218632682,72,7,CASH,Sami,AM,0.00,9.12,Front Box Cash Drawer,10/26/25 10:33 AM,10/26/25 10:06 AM
800000031219914232,800000031219756307,83,,CREDIT,Martina,Martina,1.00,10.48,,10/26/25 10:38 AM,10/26/25 10:34 AM
800000031219968448,800000031219833789,90,,CASH,Martina,Martina,0.00,10.28,Drive Thru Cash Drawer,10/26/25 10:39 AM,10/26/25 10:36 AM
800000031220049024,800000031219907839,89,,CREDIT,Martina,Martina,0.00,26.84,,10/26/25 10:41 AM,10/26/25 10:38 AM
