Payment Id,Check Id,Check #,Table,Payment Type,Server,Cashier,Tip,Amount,Cash Drawer,Date,Opened Date
800000031254976544,800000031254973011,4,,CASH,Candy ,Candy ,0.00,6.47,Drive Box,10/27/25 6:34 AM,10/27/25 6:33 AM
800000031254987478,800000031254947098,2,,CREDIT,Maria,Maria,0.00,6.45,,10/27/25 6:35 AM,10/27/25 6:28 AM
800000031255019626,800000031254977372,5,,CASH,Candy ,Candy ,0.00,4.31,Drive Box,10/27/25 6:38 AM,10/27/25 6:34 AM
800000031255028071,800000031255019560,6,,CASH,Candy ,Candy ,0.00,14.02,Drive Box,10/27/25 6:39 AM,10/27/25 6:38 AM
800000031255055406,800000031255024089,7,,CREDIT,Candy ,Candy ,0.00,13.60,,10/27/25 6:44 AM,10/27/25 6:39 AM
800000031255062511,800000031255052946,8,,CASH,Candy ,Candy ,0.00,5.40,Drive Box,10/27/25 6:45 AM,10/27/25 6:43 AM
800000031255097967,800000031255091540,9,,CASH,Candy ,Candy ,0.00,2.70,Drive Box,10/27/25 6:51 AM,10/27/25 6:50 AM
800000031255111208,800000031255111203,10,,CASH,Candy ,Candy ,0.00,2.15,Drive Box,10/27/25 6:52 AM,10/27/25 6:52 AM
800000031255161119,800000031255156010,12,,CREDIT,Candy ,Candy ,0.00,18.63,,10/27/25 6:59 AM,10/27/25 6:58 AM
800000031255204184,800000031255200879,13,,CREDIT,Candy ,Candy ,0.00,4.31,,10/27/25 7:04 AM,10/27/25 7:04 AM
800000031255261606,800000031255261607,14,,CREDIT,Candy ,Candy ,0.00,6.37,,10/27/25 7:10 AM,10/27/25 7:10 AM
800000031255299498,800000031255288637,15,,CREDIT,Candy ,Candy ,1.00,9.71,,10/27/25 7:14 AM,10/27/25 7:13 AM
800000031255331395,800000031255297595,16,,CREDIT,Candy ,Candy ,0.00,14.53,,10/27/25 7:17 AM,10/27/25 7:14 AM
800000031255345781,800000031255308525,17,,CREDIT,Candy ,Candy ,2.00,10.78,,10/27/25 7:18 AM,10/27/25 7:15 AM
800000031255361881,800000031255330673,18,,CREDIT,Candy ,Candy ,1.00,8.19,,10/27/25 7:20 AM,10/27/25 7:17 AM
800000031255386298,800000031255386208,20,,CREDIT,Candy ,Candy ,0.00,4.31,,10/27/25 7:22 AM,10/27/25 7:22 AM
800000031255434317,800000031255385121,19,,CREDIT,Candy ,Candy ,1.00,2.15,,10/27/25 7:27 AM,10/27/25 7:22 AM
800000031255443277,800000031255425982,21,,CREDIT,Candy ,Candy ,2.00,9.72,,10/27/25 7:27 AM,10/27/25 7:26 AM
800000031255478050,800000031255456368,22,,CREDIT,Candy ,Candy ,0.00,23.73,,10/27/25 7:30 AM,10/27/25 7:29 AM
800000031255533162,800000031255475189,23,,CREDIT,Candy ,Candy ,0.00,62.46,,10/27/25 7:35 AM,10/27/25 7:30 AM
800000031255539068,800000031255533974,27,,CREDIT,Maria,Maria,1.00,5.39,,10/27/25 7:36 AM,10/27/25 7:35 AM
800000031255573654,800000031255528989,25,,CREDIT,Candy ,Candy ,0.00,7.57,,10/27/25 7:38 AM,10/27/25 7:35 AM
800000031255598832,800000031255512651,24,,CREDIT,Maria,Maria,1.00,7.23,,10/27/25 7:40 AM,10/27/25 7:33 AM
800000031255614816,800000031255531706,26,,CASH,Candy ,Candy ,0.00,16.20,Drive Box,10/27/25 7:42 AM,10/27/25 7:35 AM
800000031255626060,800000031255538754,28,,CASH,Candy ,Candy ,0.00,14.04,Drive Box,10/27/25 7:43 AM,10/27/25 7:35 AM
800000031255643547,800000031255561482,30,,CASH,Candy ,Candy ,0.00,7.55,Drive Box,10/27/25 7:44 AM,10/27/25 7:37 AM
800000031255653566,800000031255621131,31,,CREDIT,Candy ,Candy ,0.00,12.35,,10/27/25 7:45 AM,10/27/25 7:42 AM
800000031255659810,800000031255638178,33,,CREDIT,Candy ,Candy ,0.00,7.56,,10/27/25 7:45 AM,10/27/25 7:44 AM
800000031255703825,800000031255648378,34,,CASH,Candy ,Candy ,0.00,7.99,Drive Box,10/27/25 7:49 AM,10/27/25 7:44 AM
